Species,author.location,site,grass.forb.shrub,Photosynthesis,annual.Perennial,max.height.cm.,Root.diameter..mm.,SRL..mm.g.,Root.tissue.density.gcm.3.,Root.N..,SLA..cm2.g..cm2.g.1.,LDMC..g.g.,Leaf.tissue.density..gcm.3.,Leaf.area..cm2.,tugor.loss.point,Leaf.N....
Artemisialudoviciana,TRY/KZ;ST,KNZ,F,C3,Perennial,91.44,0.2829667,62.0423,0.2949271,NA,142.8558,NA,0.4447675,NA,NA,NA
Asclepiasstenophylla,TRY/KZ,KNZ,F,C3,Perennial,NA,NA,NA,NA,NA,112.67606,NA,0.3413462,NA,NA,NA
Asclepiasverticillata,TRY/KZ; ST,KNZ,F,C3,Perennial,73.7,0.4293,29.21309,0.2663795,NA,167.08895,NA,0.3837415,NA,NA,NA
Asterericoides,Farrel/iowa,KNZ,F,C3,Perennial,52.57,NA,NA,NA,NA,95.8,0.3376,NA,0.2973,NA,1.2
Baptisiabracteata,TRY/KZ,KNZ,F,C3,Perennial,29.8,NA,NA,NA,NA,168.35017,NA,0.22,NA,NA,NA
Boutelouacurtipendula,TRY/KZ; ST; Farrel/iowa,KNZ,G,C4,Perennial,68.495,0.1827286,100.63455,0.5510436,0.884,160.67665,0.425945204,0.548931,4.08076,-3.0114032,1.6
Carexbrevior,TRY/KZ,KNZ,G,C3,Perennial,NA,NA,NA,NA,NA,208.33333,NA,0.3428571,NA,NA,NA
Carexheliophila,NA,KNZ,G,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carexmeadii,TRY/KZ,KNZ,G,C3,Perennial,44,NA,NA,NA,NA,208.98642,NA,0.435,NA,NA,NA
Daleacandida,TRY/CAN; Farrel/iowa,KNZ,F,C3,Perennial,64.6,0.3093429,109.4984,0.11247663,NA,87.10801,0.31388,0.41,NA,NA,2.52
Daleapurpurea,TRY/CAN; Farrel/iowa,KNZ,F,C3,Perennial,35.6,0.2737571,142.3345,0.08867978,NA,59.52381,0.31081,0.48,NA,NA,2.36
Dichantheliumacuminatum,ST/KUT,KNZ,G,C3,Perennial,NA,0.168,180.9,0.264,NA,309.4,NA,0.337,NA,NA,NA
Dichantheliumoligosanthes,Farrel/iowa,KNZ,G,C3,Perennial,31.82,NA,NA,NA,NA,100.7,0.32558,NA,3.1738,NA,0.9
Eragrostisspectabilis,TRY/KZ,KNZ,G,C4,Perennial,25.516,NA,NA,0.372,NA,129.47415,NA,0.48,NA,NA,NA
Euphorbianutans,TRY/KZ;ST/KUT,KNZ,F,C4,Annual,39.2778,0.19485,115.46675,0.301148,NA,122.6628,NA,0.6725255,NA,NA,NA
Koeleriapyramidata,ST/KUT,KNZ,G,C3,Perennial,24.1,0.127,283.3,0.334,0.516666667,160.7,0.401028467,0.487,2.385375,-1.435339472,1.385
Lespedezacapitata,TRY/KZ;ST/KUT; Farrel/iowa,KNZ,F,C3,Perennial,110.38267,0.29655,101.85666,0.301551,NA,150.88625,0.38325,0.4289675,NA,NA,2.32
Oxalisstricta,TRY/KZ,KNZ,F,C3,Perennial,29.30083,NA,NA,NA,NA,255.10204,0.169414116,0.28,8.438333,NA,NA
Physalispumila,TRY/KZ,KNZ,F,C3,Perennial,NA,NA,NA,NA,NA,96.62921,NA,0.3980322,NA,NA,NA
Psoraleatenuiflora,TRY/KZ; ST/KUT,KNZ,F,C3,Perennial,NA,0.3176333,58.831315,0.4262845,NA,100.07,NA,0.33698,NA,NA,NA
Ruelliahumilis,TRY/KZ; ST/KUT,KNZ,F,C3,Perennial,46.224,0.4301655,18.73055,0.4105155,NA,182.519,NA,0.3585735,NA,NA,NA
Schizachyriumscoparium,TRY/KZ; ST/KUT,KNZ,G,C4,Perennial,91.4125,0.202475,79.36428,0.444032,0.9905,178.6083,0.341577904,0.7250745,2.43956,-2.254976,NA
Solidagomissouriensis,ST/KUT; Farrel/iowa,KNZ,F,C3,Perennial,91.44,0.262,83.99,0.455,NA,103.333785,0.348382413,0.365,NA,NA,0.96
Sorghastrumnutans,TRY/KZ; ST/KUT; Farrel/ iowa,KNZ,G,C4,Perennial,180.86,0.238,78.45428,0.317752,NA,163.79195,0.39788,0.489839,NA,NA,1.09
Sporobolusasper,NA,KNZ,G,C4,Perennial,95.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verbenastricta,TRY/KZ,KNZ,F,C3,Perennial,90,NA,NA,NA,NA,115.94203,NA,0.2875,NA,NA,NA
Artemisiafrigida,DB/CPER,SGS,F,C3,Perennial,33.84,0.24195,70.28428596,NA,1.02,169.4188881,0.430576332,0.33609394,0.6698,-2.2888,1.943
Boutelouagracilis,DB/CPER,SGS,G,C4,Perennial,23.136,0.183741667,123.04093,0.3752851,0.56,125.5501051,0.480014021,0.412646057,1.018,-2.1479208,1.857
Buchloedactyloides,TRY/ all,SGS,G,C4,Perennial,NA,NA,NA,NA,0.78,131.75231,0.61125,NA,NA,NA,NA
Carexeleocharis,DB/CPER,SGS,G,C3,Perennial,12.652,0.1892,76.88056507,NA,0.716666667,110.0503329,0.40284305,NA,1.11075,-2.15417688,1.753
Cirsiumundulatum,DB/CPER,SGS,F,C3,Perennial,49.14,NA,NA,NA,NA,92.92159789,0.261275317,0.41,46.19333333,-0.883358496,1.971428571
Conyzacanadensis,NA,SGS,F,C3,Annual,96.65909,NA,NA,NA,NA,0.00924,NA,NA,NA,NA,NA
Cryptanthaminima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinocereusviridiflorus,NA,SGS,F,CAM,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elymuselymoides,NA,SGS,G,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ericamerianauseosa,NA,SGS,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterothecavillosa,DB/CPER,SGS,F,C3,Perennial,19.29333333,0.254566667,69.97353922,NA,0.8,125.3067938,0.328382588,NA,1.50075,-1.30543536,2.544
Ipomopsislaxiflora,NA,SGS,F,C3,Biennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidiumdensiflorum,DB/CPER,SGS,F,C3,Annual,17.528,0.119727767,317.5002833,0.40364305,1.816666667,175.1400009,0.190562613,0.46227389,0.68675,-0.949672944,3.816
Machaerantheratanacetifolia,NA,SGS,F,C3,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oenotherasp.,NA,SGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opuntiapolyacantha,NA,SGS,S,C3,Perennial,60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantagopatagonica,DB/CPER,SGS,F,C3,Annual,9.412,0.168471429,264.2943584,NA,1.25,125.8134807,0.228196907,NA,1.64475,-0.9627412,2.055
Salsolatragus,NA,SGS,F,C4,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sisymbriumaltissimum,TRY/global,SGS,F,C3,Annual,90.645835,NA,NA,NA,NA,208,0.1219667,NA,NA,NA,NA
Sphaeralceacoccinea,DB/CPER,SGS,F,C3,Perennial,13.224,0.274783335,99.97988,0.133333333,1.5,102.8873489,0.335130805,0.22081766,4.9,-1.77186088,3.143
Thelespermafilifolium,NA,SGS,F,C3,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragopogondubius,DB/CPER,SGS,F,C3,Biennial,38.908,0.434975,22.84106,0.3711031,1.137,173.150804,0.197718638,0.3306402,9.15,-1.074377472,3.029
Vulpiaoctoflora,DB/CPER,SGS,G,C3,Annual,7.264,0.12178,484.0989444,0.243376475,1.18,192.4544519,0.382109717,0.7305598,0.1421,-1.804843108,1.775555556
Allioniaincarnata,AS/NM; RG/sev,SBU,F,C4,Perennial,NA,NA,NA,NA,NA,174.4222318,0.234886336,NA,NA,-2.0904368,2.0315
Astragalusfeensis,RG/sev,SBU,F,C3,Perennial,NA,NA,NA,NA,NA,137.0900484,NA,NA,NA,NA,4.6213
Astragalussp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaesycelata,NA,SBU,F,C4,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaesyceserrula,RG/sev; sevLTER/blue,SBU,F,C4,Annual,NA,NA,NA,NA,NA,200.318309,0.29294965,NA,NA,NA,1.5738
Cryptanthacrassisepala,RG/sev; sevLTER/ blue,SBU,F,C3,Annual,NA,NA,NA,NA,NA,177.568032,0.1474635,NA,NA,NA,1.3902
Descurainiapinnata,NA,SBU,F,C3,Annual,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbiaexstipulata,RG/sev; sevLTER/ blue,SBU,F,C3,Perennial,NA,NA,NA,NA,NA,214.6976351,0.1639677,NA,NA,NA,2.4043
Gutierreziasarothrae,AS/AZ,SBU,S,C3,Perennial,23,0.2064,88.03055556,0.36,1.24,100.1001,0.39024694,0.15435775,0.19084,-2.6681648,1.534
Hoffmannseggiadrepanocarpa,RG/sev; sevLTER/ blue,SBU,F,C3,Perennial,NA,NA,NA,NA,NA,157.2577,0.34375,NA,NA,NA,2.0165
Ipomopsispumila,RG/sev,SBU,F,C3,Annual,NA,NA,NA,NA,NA,140.5887511,NA,NA,NA,NA,2.1754
Kallstroemiaparviflora,RG/sev; sevLTER/ blue and black,SBU,F,C4,Annual,NA,NA,35.12971,NA,NA,255.3065862,0.1840491,NA,NA,NA,1.6903
Lesquerellafendleri,NA,SBU,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linumpuberulum,RG/sev,SBU,F,C3,Annual,NA,NA,NA,NA,NA,92.05271912,NA,NA,NA,NA,1.4107
Machaerantherapinnatifida,RG/sev,SBU,F,C3,Perennial,NA,NA,NA,NA,NA,141.826168,0.365723939,NA,NA,NA,2.1071
Muhlenbergiaarenicola,RG/sev,SBU,G,C4,Perennial,NA,NA,NA,NA,NA,144.308259,NA,NA,NA,NA,2.062
Oenotheracaespitosa,sevLTER/ blue,SBU,F,C3,Perennial,15.24,NA,21.5562,NA,NA,184.4391,0.1641565,NA,NA,NA,NA
Phaceliacrenulata,RG/sev; sevLTER/black,SBU,F,C3,Annual,NA,NA,NA,NA,NA,174.0738454,0.1261692,NA,NA,NA,2.4692
Plantagopatagonica,RG/sev; sevLTER/ blue and black,SBU,F,C3,Annual,11.88675,0.168471429,24.58387,NA,1.25,110.755,0.231891593,NA,1.421875,-0.69552658,1.8764
Pleuraphisjamesii,RG/sev,SBU,G,C3,Perennial,60.96,NA,NA,NA,NA,139.5706886,NA,NA,NA,NA,1.2327
Sphaeralceapolychroma,RG/sev,SBU,F,C3,Perennial,NA,NA,NA,NA,NA,119.6743415,NA,NA,NA,NA,4.3008
Sporobolussp.,RG/sev,SBU,G,C4,Perennial,NA,NA,NA,NA,NA,101.7955765,NA,NA,NA,NA,1.2816
Allioniaincarnata,AS/NM; RG/sev,SBK,F,C4,Perennial,NA,NA,NA,NA,NA,174.4222318,0.234886336,NA,NA,-2.0904368,2.0315
Alliummacropetalum,NA,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristidaadscensionis,TRY/global; sevLTER/ blue,SBK,G,C4,Annual,29.33333,NA,162.48222,NA,NA,265.2631,0.352607,NA,NA,NA,NA
Astragalusfeensis,NA,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalussp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boutelouaeriopoda,AS/NM; RG/sev,SBK,G,C4,Perennial,60.96,NA,NA,NA,NA,165.7349725,0.358500582,NA,NA,-2.6979008,2.11225
Boutelouagracilis,TRY/AZ,SBK,G,C4,Perennial,34.5,0.183741667,123.04093,0.3752851,0.56,110.4342855,0.41375,0.412646057,1.09699,-2.517091661,1.3646
Chamaesycealbomarginata,RG/sev,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,126.4952309,NA,NA,1.2973,NA,NA
Chamaesyceserpyllifolia,TRY/AZ; RG/sev,SBK,F,C4,Annual,1.527778,NA,NA,NA,NA,199.2828272,NA,NA,NA,NA,1.6056
Dasyochloapulchella,AS/NM; RG/sev,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,165.6899912,0.440023543,NA,NA,-4.6562288,1.055
Descurainiapinnata,NA,SBK,F,C3,Annual,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinomastusintertextus,NA,SBK,S,CAM,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escobariavivipara,NA,SBK,S,CAM,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbiaexstipulata,RG/sev,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,214.6976351,NA,NA,NA,NA,2.4043
Gauracoccinea,RG/sev; sevLTER/ blue,SBK,F,C3,Perennial,NA,NA,73.07968,NA,NA,149.3403465,0.2637897,NA,NA,NA,2.5336
Glandulariabipinnatifida,TRY/KZ,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,144.3609,NA,0.2770833,NA,NA,NA
Kallstroemiaparviflora,RG/sev; sevLTER/ blue and black,SBK,F,C4,Annual,NA,NA,35.12971,NA,NA,261.6331,0.2186391,NA,NA,NA,1.6903
Lepidiumdensiflorum,TRY/AZ,SBK,F,C3,Annual,32,0.15235,NA,0.40364305,1.421,223.95658,0.1758455,0.46227389,2.4471636,-0.839135831,3.707
Lotusplebeius,NA,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muhlenbergiaarenicola,RG/sev,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,144.308259,NA,NA,NA,NA,2.062
Oenotheracaespitosa,NA; sevLTER/blue + black,SBK,F,C3,Perennial,15.24,NA,21.5562,NA,NA,297.9888,0.1205563,NA,NA,NA,NA
Plantagopatagonica,RG/sev; sevLTER/blue and black,SBK,F,C3,Annual,11.88675,0.168471429,24.58387,NA,1.25,183.5855,0.221869643,NA,1.421875,-0.69552658,1.8764
Salsolatragus,NA,SBK,F,C4,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sennabauhinioides,NA,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaeralceahastulata,RG/sev,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,140.4603642,NA,NA,NA,NA,2.31
Sphaeralceapolychroma,RG/sev,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,119.6743415,NA,NA,NA,NA,4.3008
Sporobolussp.,RG/sev,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,159.6265199,NA,NA,NA,NA,2.402
Stephanomeriapauciflora,RG/sev,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,165.979668,NA,NA,NA,NA,2.7742
Zinniagrandiflora,AS/NM,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,0.444217033,NA,NA,-4.05561824,NA
