"species","site","Photosynthesis","annual.Perennial","height","rootdiam","SRL","RTD","rootN","SLA","LDMC","LTD","leafarea","TLP","leafN","intrinsicLDGRcon","intrinsicLDGRchr","invasionLDGRcon","invasionLDGRchr","weight","effectN","effectND","weight2","grassland_type","grass.forb","lifespan"
"Alliumtextile","CHY","C3","Perennial",30.48,0.2355,NA,NA,NA,101.8584,0.135925364,0.08137136,1.24325,-0.34556153,2.815,0.248119893967043,-0.0944601518567713,0.340666641659147,0.0331537702951505,0.523840175902338,0.535266105006272,0.989758383777909,1.90897920014908,"Northern Mixed","Other","Perennial"
"Artemisiafrigida","CHY","C3","Perennial",26.868,0.24195,70.28428596,NA,1.02,213.6270654,0.348899798,0.33609394,0.075220945,-1.261089225,1.953,1.62811231743312,1.14089441919486,0.65600754602927,0.499612343904065,0.5986271531234,-4.66549105218147,-3.01425513528248,1.67048887572572,"Northern Mixed","Other","Perennial"
"Boutelouagracilis","CHY","C4","Perennial",15.91,0.204125,68.67957164,0.3752851,0.56,72.99876175,0.49404319,0.412646057,0.6532,-1.599274184,1.508888889,2.99946405181134,3.11888821920074,2.10415706678487,1.65296223104496,0.74297349983846,-3.01972314423912,-4.47526843969121,1.34594302517845,"Northern Mixed","Grass","Perennial"
"Carexeleocharis","CHY","C3","Perennial",9.955,0.1892,76.88056507,NA,0.716666667,115.4980706,0.403400534,NA,0.95225,-2.430975402,1.742,2.28242787952582,3.00864425700034,2.29076399962929,2.8772982818845,0.579142810643122,0.0323214554798858,-0.478637707756168,1.72668982783284,"Northern Mixed","Grass","Perennial"
"Cirsiumundulatum","CHY","C3","Perennial",38.61428571,NA,NA,NA,NA,97.29738554,0.228524695,0.41,36.25428571,-1.27780434,1.958,-0.13367321676855,0.451068280729986,0.0111449353600155,0.213083473249575,0.46074836810337,0.76266608602764,-1.4070264994293,2.17038207669929,"Northern Mixed","Other","Perennial"
"Comandraumbellata","CHY","C3","Perennial",9.485,0.3323,21.75143953,NA,0.82,91.94960823,0.255090913,0.3340517,0.4859,-1.896426384,2.608,0.218401092288467,0.391675391021312,0.300369554862072,0.435555699651307,0.567902903278445,0.359338936921206,0.212422869230077,1.76086439112585,"Northern Mixed","Other","Perennial"
"Erigeronpumilus","CHY","C4","Perennial",9.58,0.23698,83.89194004,NA,0.98,103.6559933,0.249771608,0.20651597,0.457125,-0.785325331,1.773,0.589810377660907,0.641371948410964,0.466038045916273,1.06126237630011,0.537070180420373,-1.40005002757307,3.7266456811201,1.86195405452838,"Northern Mixed","Other","Perennial"
"Gauracoccinea","CHY","C3","Perennial",17.812,NA,NA,NA,NA,137.561965,0.290132473,NA,1.06725,-1.09411888,2.066666667,0.119321453232257,0.219515718638742,0.147370037635859,0.453358045661828,0.481098050325003,0.162114378937353,1.25828859572094,2.07857836739196,"Northern Mixed","Other","Perennial"
"Heterothecavillosa","CHY","C3","Perennial",12.812,0.254566667,69.97353922,NA,0.8,115.9404074,0.30257769,NA,0.733125,-0.551132887,2.032,1.19676945296595,1.11366378986881,0.881323268802407,0.670411187892836,0.634955265771244,-1.46799397343773,-1.94905046751791,1.57491409853158,"Northern Mixed","Other","Perennial"
"Koeleriapyramidata","CHY","C3","Perennial",15.7,0.15324,162.2700823,0.334,0.516666667,83.88686134,0.401028467,0.487,2.385375,-1.435339472,1.385,0.910864740134932,0.75378009306128,0.878452193190227,0.525686386130649,0.693287184563125,-0.150733409688607,-1.19971779957842,1.44240369974551,"Northern Mixed","Grass","Perennial"
"Lactucaserriola","CHY","C3","Biennial",83.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.600111429630125,0.502959096924712,0.601593716536863,0.0899393623635696,0.391460913082865,13.4382490855942,-3.83753128180646,2.55453345807814,"Northern Mixed","Other","Short-lived"
"Lappularedowskii","CHY","C3","Annual",16.09,0.13325,378.8427103,NA,1.78,231.0757905,0.203229243,NA,0.238642857,-0.816724467,2.356,1.67201188361813e-17,0.343028844653636,2.9370397244821e-16,-0.0418473316027725,0.322120562970698,2.85765422095963e-15,-3.63852157292663,3.1044277048869,"Northern Mixed","Other","Short-lived"
"Lepidiumdensiflorum","CHY","C3","Annual",15.27428571,0.15235,282.0899068,0.40364305,1.816666667,169.268439,0.207452531,0.46227389,0.634055556,-0.728598717,3.598,0.0759779909823817,0.0314736582202135,-0.0418148359774975,0.0943387304007919,0.256164802110239,-1.94323445460188,0.688951771302195,3.90373693716773,"Northern Mixed","Other","Short-lived"
"Lesquerellamontana","CHY","C3","Perennial",4.92,0.171,190.2181779,NA,1.828571429,92.82327376,0.211131504,NA,0.696166667,-0.880043165,2.744,0.380917028610742,0.483237293004093,0.747880412256496,0.812955028737633,0.910648541654225,1.64210509769398,1.63742987668962,1.09811848837254,"Northern Mixed","Other","Perennial"
"Linariadalmatica","CHY","C4","Perennial",60.7,NA,NA,NA,1.001,145.72879,0.21475,NA,4.2554429,NA,NA,0.744573280557605,0.823024167579443,0.307698922312066,0.418917639713077,0.535743436770393,-4.48635915779083,-4.04569762758484,1.86656509695811,"Northern Mixed","Other","Perennial"
"Lygodesmiajuncea","CHY","C3","Perennial",NA,NA,NA,NA,NA,101.5325763,0.203896624,NA,NA,NA,NA,0.0657269161530128,-0.0623300144268395,0.190387174923206,0.22566042777114,0.326416659282139,0.712772112450933,1.74023289128966,3.06356912725967,"Northern Mixed","Other","Perennial"
"Mertensialanceolata","CHY","C3","Perennial",10.37,0.18698,73.76156396,NA,1.425,129.3438491,0.208128531,NA,1.1595,-0.791050036,2.834,0.252402705904949,0.129877034346327,0.189081492939883,0.134933820247757,0.345301447019225,-0.296469775144807,0.0249149630336615,2.8960202994583,"Northern Mixed","Other","Perennial"
"Musineondivaricatum","CHY","C3","Perennial",6.85,NA,NA,NA,NA,98.72758824,0.194083985,0.16887982,3.292,-1.102265773,3.204,0.191093159614854,0.146156712975512,0.0292310250786578,0.119161988683187,0.291565654191411,-1.48782085858882,-0.157605527097064,3.42975925190251,"Northern Mixed","Other","Perennial"
"Pascopyrumsmithii","CHY","C3","Perennial",31.055,0.3128,39.31760857,0.2845681,0.88,75.48453217,0.381474082,0.46392425,5.1705,-1.395786971,2.31,1.96248043496719,1.24416895046486,2.09611981742302,1.26811310735778,0.603736816232339,0.613191399267708,0.0883886775741111,1.65635086864599,"Northern Mixed","Grass","Perennial"
"Penstemonalbidus","CHY","C3","Perennial",13.425,0.23682,118.2733738,NA,0.94,96.92319451,0.271293342,NA,2.184,-0.523550221,1.668,0.362541954187371,0.266635899613994,0.131137578352998,0.148169484960982,0.372994471876131,-1.3329636105097,-0.771339320215031,2.68100488184204,"Northern Mixed","Other","Perennial"
"Phloxhoodii","CHY","C4","Perennial",2.825,0.33018,47.89818564,0.327272727,1.18,139.5070877,0.262580645,0.40898618,0.030829593,-0.848817505,2.326666667,1.9048409352379,0.0726531731670477,2.30820428363417,0.35989636188659,0.426379364625565,3.72523044839406,1.57885126137814,2.34532926066479,"Northern Mixed","Other","Perennial"
"Plantagopatagonica","CHY","C3","Annual",7.655,0.168471429,264.2943584,NA,1.25,111.1843241,0.250117064,NA,1.199,-0.42831196,1.294,1.88621155775701,1.8097683681436,0.172862142786327,0.65803657949511,0.977801497820478,-12.8872858173907,-11.7277266884253,1.02270246285059,"Northern Mixed","Other","Short-lived"
"Sphaeralceacoccinea","CHY","C3","Perennial",8.865,0.259766667,70.74975685,0.133333333,1.5,91.28928662,0.300322517,0.22081766,2.609722222,-0.940412773,2.475,0.269977415663968,0.0648493763954738,0.116563201013365,0.176382866150574,0.354281909092352,-0.71683372089879,0.564889728913657,2.82261096131591,"Northern Mixed","Other","Perennial"
"Stipacomata","CHY","C3","Perennial",25.305,0.286883333,39.04902073,0.65,0.683333333,59.60760204,0.443618722,0.28232236,1.44825,-1.933388738,1.578,1.32952250008253,1.28434331079863,1.16202226375867,1.02842536684301,0.846153880734701,-0.679051883362891,-1.24111192107052,1.1818181335193,"Northern Mixed","Grass","Perennial"
"Tragopogondubius","CHY","C3","Biennial",51.08075,0.434975,22.84106,0.3711031,1.137,141.6648016,0.217106333,0.3306402,8.4654524,-1.074377472,3.029,0.624119772083882,-0.0706952099634472,0.338432805177844,0.460537128822306,0.499996324037017,-2.88844409398048,3.39444812817867,2.00001470396003,"Northern Mixed","Other","Short-lived"
"Vulpiaoctoflora","CHY","C3","Annual",6.495,0.12178,484.0989444,0.243376475,1.18,150.1410832,0.277615645,0.7305598,0.144238,-1.804843108,2.106,1.78573916629196,1.43441195227386,1.14906624718357,2.49655500364996,1.50850981956095,-3.78779603581864,9.49367745761702,0.662905860494198,"Northern Mixed","Grass","Short-lived"
"Achilleamillefolium","HYS","C3","Perennial",40.359167,0.2537,73.90947,0.3156046,0.685,169.867,0.28098,0.272,2.3824048,-1.8366896,NA,0.641443317688352,0.884910062681166,0.474445590142818,0.334980237891574,0.711255051930366,-1.53539451373683,-4.24096974382789,1.40596540901322,"Southern Mixed","Other","Perennial"
"Ambrosiapsilostachya","HYS","C3","Perennial",44.425,NA,NA,NA,1.29,108.6214169,0.2879133,0.67,4.920375,-2.73749216,NA,1.42969289854605,1.18295960570502,1.27068144629072,0.956651716267143,0.99555865052286,-1.17765231244892,-0.691612231598187,1.00446116306137,"Southern Mixed","Other","Perennial"
"Andropogonternarius","HYS","C4","Perennial",118.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90044805796088,1.36856447062429,1.07517100108656,0.746494421047583,0.913170204994095,-6.46262704245633,-3.50212387914563,1.09508610172675,"Southern Mixed","Grass","Perennial"
"Aristidapurpurea","HYS","C4","Annual",7.35,0.2046,120.4515543,0.278714286,NA,103.569861,0.475938433,0.5223002,0.2265,-2.6865728,NA,1.52056223403225,1.39282023704336,1.33322666145686,1.00113865323618,0.811842947709175,-1.38964925012267,-1.51147671647487,1.23176533444277,"Southern Mixed","Grass","Short-lived"
"Asterericoides","HYS","C3","Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35912446080817,0.291953199658996,0.582831232386939,0.804377108378691,0.800463842640589,-6.60885166886773,5.50706621518122,1.24927566584541,"Southern Mixed","Other","Perennial"
"Astragaluscrassicarpus","HYS","C3","Perennial",NA,NA,NA,NA,NA,135.86957,NA,0.46,NA,NA,NA,0.516205856513505,-0.036351774911916,0.328475176235305,0.0820707955598841,0.728756182967943,-1.68803451197009,0.703956984437454,1.37220105073742,"Southern Mixed","Other","Perennial"
"Boutelouacurtipendula","HYS","C4","Perennial",68.495,0.12054,222.8852772,0.45474026,0.884,158.4683619,0.441390407,0.5498623,4.08076,-2.8125968,NA,2.24302656629751,1.54010110637832,1.49140215852267,1.22134793912254,0.762768817716235,-2.22948064247119,-1.09694483630915,1.31101321497914,"Southern Mixed","Grass","Perennial"
"Boutelouagracilis","HYS","C4","Perennial",26.0065,0.183741667,123.04093,0.3752851,0.56,130.267628,0.482589445,0.412646057,0.92273,-3.80408,1.6829445,3.13002508793124,1.753919156043,1.05909652744866,0.974891305659158,0.909883571817203,-4.46593121870485,-3.40599845011397,1.09904171365883,"Southern Mixed","Grass","Perennial"
"Bromusjaponicus","HYS","C3","Annual",31.42857,NA,NA,NA,NA,NA,0.2866,0.33,2.499,NA,NA,2.13750654717971,2.71761462394115,0.791395538423444,2.01301507937454,1.4979384655003,-9.97593402532841,-2.71151408841548,0.667584165192,"Southern Mixed","Grass","Short-lived"
"Buchloedactyloides","HYS","C4","Perennial",NA,NA,NA,NA,0.78,131.75231,0.5325,NA,NA,NA,NA,1.37421769592077,1.03880745684001,0.299625623865955,0.566357068629483,0.848307698075827,-6.24379273799485,-3.132332325399,1.17881754729828,"Southern Mixed","Grass","Perennial"
"Cirsiumundulatum","HYS","C3","Perennial",43.87714286,NA,NA,NA,NA,71.73601,0.256133344,0.41,41.22380952,-1.080581418,1.964714286,0.918629636171564,1.67419400544008,0.94321476207201,0.169250771346709,0.775713195458654,0.207901690075592,-9.18083711705102,1.28913625016877,"Southern Mixed","Other","Perennial"
"Erysimumasperum","HYS","C3","Biennial",NA,NA,NA,NA,NA,NA,0.263038549,NA,NA,NA,NA,0.960740509968067,0.925488685831626,0.62859285867295,0.389183308531093,0.729906347965558,-2.31841817269019,-4.27490788882116,1.37003877660095,"Southern Mixed","Other","Short-lived"
"Gutierreziasarothrae","HYS","C3","Perennial",38.14667,0.2064,88.03055556,0.36,1.24,95.2121,0.376374603,0.15435775,0.19084,-2.454065,1.534,0.707799286620057,0.314283359542265,0.48112912040086,0.437848434262879,0.717470776912996,-1.85331167373649,0.753346133111954,1.39378499052271,"Southern Mixed","Other","Perennial"
"Hedeomahispida","HYS","C3","Annual",NA,NA,NA,NA,NA,115.15152,NA,0.4824561,NA,NA,NA,-0.0312523293556354,0.797154542824807,0.0616308614592371,0.246086679913989,0.330198424309388,0.676784115989191,-2.59769237292686,3.02848204709488,"Southern Mixed","Other","Short-lived"
"Kuhniaeupatorioides","HYS","C3","Perennial",89.5,NA,NA,NA,NA,140.25245,NA,0.31,NA,NA,NA,-4.89830635194353e-14,0.739491772378456,-1.27481471265956e-14,0.368355863270689,0.743178665858159,4.535183582178e-13,-2.45595959115586,1.34557145669041,"Southern Mixed","Other","Perennial"
"Liatrispunctata","HYS","C3","Perennial",30.68167,0.3042,118.81,0.168,1.06,54.39829,0.312267,0.469593,1.21275,-0.914981833,1.664,0.537443898233167,1.04712783482244,0.252976677040234,0.476360943884234,0.599980783921428,-2.71545520004272,-3.93822799625346,1.66672004637228,"Southern Mixed","Other","Perennial"
"Medicagolupulina","HYS","C3","Annual",41.40291,0.215,303.5787,0.1045,3.2291685,182.43243,0.19152005,0.3915344,7.48,NA,NA,0.139026664833192,0.423253365432529,0.199099066521713,0.174211575151407,0.391358117905083,0.447289300093342,-1.2895241430359,2.55520443871956,"Southern Mixed","Other","Short-lived"
"Melilotusofficinalis","HYS","C3","Biennial",134.6,NA,NA,NA,NA,132.33083,0.2376667,0.2906469,NA,NA,NA,0.209643360434915,-0.0900153072016678,0.355124741889673,0.505683832966451,0.811667923568977,1.07052393733481,3.44604897109196,1.23203094635416,"Southern Mixed","Other","Short-lived"
"Opuntiapolyacantha","HYS","C3","Perennial",60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293590484733669,0.192206402414006,0.0558226698877364,0.143911710500681,0.522640491591201,-2.01272376550674,-0.369371244334391,1.91336112698704,"Southern Mixed","Other","Perennial"
"Oxalisstricta","HYS","C3","Perennial",29.30083,NA,NA,NA,NA,255.10204,0.169414116,0.28,8.438333,NA,NA,0.0200366928467189,0.12331571691505,0.0465884393370382,0.263520236831193,0.297336361617898,0.217320681883218,0.715229353927926,3.36319444604317,"Southern Mixed","Other","Perennial"
"Pascopyrumsmithii","HYS","C3","Perennial",37.07833333,0.195,122.15,0.285,1.004,52.67848466,0.455234911,0.46392425,7.28583335,-2.584984914,2.1925,2.60473421947794,3.7718631111133,1.15968305406858,1.99799241674407,1.06471531426532,-6.45118582623503,-5.18936655942554,0.939218199082656,"Southern Mixed","Grass","Perennial"
"Poapratensis","HYS","C3","Perennial",43.339,NA,652.0816,0.116875,0.8149322,223.21429,0.3044245,0.3409091,4.3356409,NA,NA,1.40129159091636,2.33713714750665,1.30926727692446,2.18289228647925,0.785993895582678,-0.768425006962665,-1.37369355885289,1.2722745120796,"Southern Mixed","Grass","Perennial"
"Psoraleatenuiflora","HYS","C3","Perennial",NA,0.3176333,34.26263,0.4262845,NA,100.06946,NA,0.3569595,NA,NA,NA,1.83542812851684,2.71453020192637,0.782806689687847,0.77330091695846,0.968810051398076,-8.00061681831392,-7.32008289659285,1.03219408031215,"Southern Mixed","Other","Perennial"
"Ratibidacolumnifera","HYS","C3","Perennial",94.488,0.204666667,128.4495034,0.278333333,NA,111.3554043,0.212333434,0.2941176,NA,-1.92912608,NA,0.95573836636138,1.91151082737283,0.490639772602683,0.694534929832447,0.647817526628317,-3.62533589657944,-6.61249932870007,1.54364455868411,"Southern Mixed","Other","Perennial"
"Schizachyriumscoparium","HYS","C4","Perennial",91.4125,0.17486,195.7415543,0.228333333,0.9905,161.2498759,0.341577904,0.7731486,2.43956,-2.254976,NA,1.39429174706554,1.20871726597676,1.13776576301243,0.817451817868793,0.630811103853044,-1.2999562347268,-1.75382763448725,1.5852606174684,"Southern Mixed","Grass","Perennial"
"Senecioplattensis","HYS","C3","Perennial",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0424349227416569,-0.126496135606377,0.078856727633741,0.290965486654857,0.43224617198385,0.296635929239543,2.32536408570904,2.31349648606573,"Southern Mixed","Other","Perennial"
"Sileneantirrhina","HYS","C3","Annual",NA,NA,NA,NA,NA,200,NA,0.3846154,NA,NA,NA,0.0944186295200501,0.19636172142279,0.0328155191947148,0.0981782262894658,0.17756621110324,-0.549620917523683,-0.597323486788121,5.63170207770319,"Southern Mixed","Other","Short-lived"
"Sporobolusasper","HYS","C4","Perennial",95.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94105237899506,1.35216289280044,1.18824690336631,1.18951693932754,0.870286410311217,-3.04031406328508,-0.641152043681379,1.14904701274423,"Southern Mixed","Grass","Perennial"
